,job_type_blue-collar,job_type_entrepreneur,job_type_housemaid,job_type_management,job_type_retired,job_type_self-employed,job_type_services,job_type_student,job_type_technician,job_type_unemployed,job_type_unknown,marital_married,marital_single,marital_unknown,education_secondary,education_tertiary,education_unknown,default_yes,housing_loan_yes,personal_loan_yes,communication_type_telephone,communication_type_unknown,prev_campaign_outcome_other,prev_campaign_outcome_success,prev_campaign_outcome_unknown,prev_campaign_contact_yes,balance_ind_positive,customer_age,log_balance,log_last_contact_duration,log_num_contacts_in_campaign,log_num_contacts_prev_campaign,term_deposit_subscribed,month,month_sin,month_cos,day_of_month,day_of_month_sin,day_of_month_cos,job_type,marital,education,default,housing_loan,personal_loan,communication_type,prev_campaign_outcome,prev_campaign_contact,balance,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,9.305477809588709,4.692264892839025,0.0953101798043249,0.7419373447293773,0,5,0.4999999999999999,-0.8660254037844387,22,-0.968077118866204,-0.2506525322587213,technician,married,secondary,no,yes,yes,cellular,failure,yes,2978.0,109.0,1.0,2
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,31.0,9.16556264719453,5.182345190295616,2.2082744135228043,-2.302585092994045,0,5,0.4999999999999999,-0.8660254037844387,27,-0.72479278722912,0.6889669190756865,entrepreneur,married,secondary,no,yes,yes,unknown,unknown,no,1542.0,178.0,9.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,9.016646393637249,5.08821342874163,1.62924053973028,1.9600947840472696,0,5,0.4999999999999999,-0.8660254037844387,14,0.299363122973358,-0.9541392564000488,technician,married,secondary,no,yes,no,cellular,failure,yes,219.0,162.0,5.0,7
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,9.264269689001264,6.167726112522061,0.7419373447293773,-2.302585092994045,0,7,-0.4999999999999997,-0.8660254037844388,17,-0.2993631229733582,-0.9541392564000488,management,married,primary,no,no,yes,telephone,unknown,no,2534.0,477.0,2.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,9.055334326427948,4.079230924412053,0.0953101798043249,-2.302585092994045,0,5,0.4999999999999999,-0.8660254037844387,5,0.8486442574947509,0.5289640103269624,student,single,secondary,no,no,no,telephone,unknown,no,544.0,59.0,1.0,0
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,8.989830848562615,7.160146904655332,0.0953101798043249,-2.302585092994045,0,11,-0.5000000000000004,0.8660254037844384,19,-0.743144825477394,-0.6691306063588585,management,divorced,tertiary,no,yes,no,cellular,unknown,no,1.0,1287.0,1.0,0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,29.0,8.989955511971575,4.264087336809195,1.1314021114911006,-2.302585092994045,0,5,0.4999999999999999,-0.8660254037844387,23,-0.9987165071710528,-0.0506491688387135,blue-collar,single,secondary,yes,yes,no,unknown,unknown,no,2.0,71.0,3.0,0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,9.110972972776969,-2.302585092994045,0.0953101798043249,-2.302585092994045,0,1,0.4999999999999999,0.8660254037844387,28,-0.5712682150947924,0.8207634412072763,blue-collar,married,secondary,no,no,no,cellular,unknown,no,1034.0,0.0,1.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0,8.998643556095608,5.075798620002669,0.0953101798043249,-2.302585092994045,0,2,0.8660254037844386,0.5000000000000001,4,0.7818314824680298,0.6234898018587336,unemployed,married,primary,no,no,yes,cellular,unknown,no,72.0,160.0,1.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,28.0,9.955752624594773,4.9494688588587685,0.0953101798043249,-2.302585092994045,0,6,1.2246467991473532e-16,-1.0,4,0.7431448254773941,0.6691306063588582,unknown,single,primary,no,no,no,unknown,unknown,no,13053.0,141.0,1.0,0
